ID;FullName;global_id;AdmArea;District;Address;LegalAddress;ContactPhone;Fax;Email;WebSite;Categorization;CertificateNumber;CertificateIssueDate;NumberInFederalList;CertificateValidity;NameOfAccreditedOrganization;geodata_center;geoarea
99;Гостиница «На Смирновской 25»;62409568;Юго-Восточный административный округ;Нижегородский район;улица Смирновская, дом 25, строение 4;109052, город Москва, улица Смирновская, дом 25, строение 4;"PublicPhone:(499) 962-45-45

";;9624545@mail.ru;hotel-smirnovskaya.ru;;;;;;;010100000058AB764D48DB4240C020E9D32ADE4B40;
100;Гостиница «SunFlower Парк» ООО «Бизнес и Право»;62409569;Южный административный округ;район Чертаново Центральное;Кировоградская улица, дом 11;;"PublicPhone:(495) 933-04-04

";(495) 627-74-88;nf@hotelmanagement.ru;www.sunflowerpark.ru;;;;550010214;;;0101000000B9DFA128D0CD4240E0BC38F1D5CE4B40;
101;Гостиница «Интурист Коломенское» ООО «КОСМОМЕНЕДЖМЕНТ» ;62409570;Южный административный округ;район Москворечье-Сабурово;Каширское шоссе, дом 39Б;;"PublicPhone:(495) 662-10-01

";;bron@intourist-kolomenskoe.ru;intourist-kolomenskoe.ru;;;;;;;0101000000FB3BDBA337D642405298F738D3D24B40;
102;Гостиница «Даниловская» Московской Патриархии;62409571;Южный административный округ;Даниловский район;Большой Староданиловский переулок, дом 5;115191, город Москва, Большой Староданиловский переулок, дом 5;"PublicPhone:(495) 954-05-03

";(495) 954-07-50;danilovsky@ya.ru;danilovsky.ru;;;;;;;0101000000DAC69FA86CD042406403E962D3DA4B40;
103;Гостиница «Галерея Сити Отель»;62409572;Южный административный округ;Даниловский район;улица Мастеркова, дом 3;;"PublicPhone:(495) 956-07-53

";;city@hotelgalery.ru;www.hotelgalery.ru;;;;550007675;;;0101000000A25EF0694ED442404D840D4FAFDA4B40;
104;Гостиница «Галерея Парк Отель» ООО «Ардея»;62409573;Южный административный округ;Даниловский район;улица Дербеневская, дом 11, строение 17;;"PublicPhone:(495) 788-36-76

";;gallerypark@mail.ru ;;четыре звезды;550012459;12.09.2017;550012459;12.09.2020;"ООО ""Эксперт Хоспиталити групп""";010100000081D07AF832D342409548A29751DC4B40;
105;"Отель ""Галерея Вояж""";62409574;Южный административный округ;Даниловский район;улица Автозаводская,  дом 23, строение 16;;"PublicPhone:(495) 357-10-70

";(495) 357-10-77;voyage@hotelgalery.ru ;www.hotelgalery.ru/voyage/about_voyage;;;;550005272;;;0101000000A795422097D44240211D1EC2F8D74B40;
106;Гостиница «Отель «Сухаревский»;62409575;Центральный административный округ;Красносельский район;1-й Коптельский переулок, дом 2/7, строение 1;129336, город Москва, Челюскинская улица, дом 9;"PublicPhone:(495) 276-04-04

";;"booking@hotelsuharevsky.ru; info@hotelsuharevsky.ru";www.hotelsuharevsky.ru;;;;;;;0101000000056D72F8A4D142402D776682E1E24B40;
107;Отель «Де Пари»;62409576;Центральный административный округ;Пресненский район;улица Большая Бронная, дом 23, строение 3;123104, город Москва, улица Большая Бронная, дом 23, строение 3;"PublicPhone:(495) 777-00-52

";(495) 777-00-52;booking@hotel-deparis.ru;hotel-deparis.ru;;;;;;;0101000000206118B0E4CC4240DBDFD91EBDE14B40;
108;"Гостиничный комплекс ""ПЕКИН""";62409577;Центральный административный округ;Пресненский район;улица Большая Садовая, дом 5;123001, город Москва, улица Большая Садовая, дом 5;"PublicPhone:(495) 650-09-37

";(495) 980-59-95;sales@hotelpeking.ru ;www.hotelpeking.ru;4 звезды;550004449;;550004449;;"ООО ""Премьер-Дил""";0101000000B3791C06F3CB4240AF5DDA7058E24B40;
109;"Отель ""Дженталион""";62409578;Центральный административный округ;Тверской район;улица 1-ая Брестская, дом 38, строение 1;;"PublicPhone:(495) 926-79-00

";;booking@hotelgentalion.ru;www.hotelgentalion.ru;;;;550005273;;;0101000000AA0B789961CB4240C91F0C3CF7E24B40;
110;ОТЕЛЬ «МЕГАПОЛИС»;62409579;Центральный административный округ;Тверской район;Тверская улица, дом 4-153;;"PublicPhone:(925) 724-04-94

";;otel-megapolis@mail.ru;www.megapolis-hotel.com;;;;550006456;;;0101000000CA1AF5108DCE4240AC74779D0DE14B40;
111;Гостиница «Катерина Сити» строение 1;62409580;Центральный административный округ;район Замоскворечье;Шлюзовая набережная, дом 6, строение 1;115114, город Москва, Шлюзовая набережная, дом 6, строение 1;"PublicPhone:(495) 795-24-44

";(495) 795-24-43;reception.city@katerinahotels.com;www.katerinahotels.com/ru/moscow/city/welcome_page;;;;;;;0101000000B325AB22DCD24240D1764CDD95DD4B40;
112;Гостиница «Катерина Сити» строение 2;62409581;Центральный административный округ;район Замоскворечье;Шлюзовая набережная, дом 6, строение 2;115114, город Москва, Шлюзовая набережная, дом 6, строение 1;"PublicPhone:(495) 795-24-44

";(495) 795-24-43;reception.city@katerinahotels.com;www.katerinahotels.com/ru/moscow/city/welcome_page;;;;;;;0101000000CDCCCCCCCCD24240AC38D55A98DD4B40;
113;"Гостиница ""Ист-Вест""";62409582;Центральный административный округ;Мещанский район;Тверской бульвар, дом 14, строение 4;;"PublicPhone:(495) 690-04-04

";(495) 691-46-06;eastwesthotel@mail.ru;;без звезд;550012124;18.07.2017;550012124;17.07.2020;АНО «ЭкспертКонсалтЦентр»;0101000000492EFF21FDCC42405169C4CC3EE14B40;
114;ОТЕЛЬ «ПАНОРАМА СИТИ» ;62409583;Центральный административный округ;Пресненский район;Пресненская набережная, дом 6, строение 2;;"PublicPhone:(495) 508-30-30

";;panoramacity@mail.ru ;www.panoramacity.ru;;;;550005030;;;01010000003CDD79E239C54240B29DEFA7C6DF4B40;
115;Гостиница «Медея»;62409584;Центральный административный округ;район Замоскворечье;Пятницкий переулок, дом 4, строение 1;;"PublicPhone:(495) 933-31-67

";;tmurtazina@hotel-medea.ru ;;;;;550006156;;;01010000004C16F71F99D04240CDCB61F71DDF4B40;
116;Гостиница «Будапешт» ОАО «Гостиница «БУДАПЕШТ»;62409585;Центральный административный округ;Тверской район;Петровские линии, дом 2/18;"127051 город Москва,
Петровские линии, дом 2/18";"PublicPhone:(495) 925-30-50

";(495) 621-52-90;"info@hotel-budapest.ru; reservations@hotel-budapest";www.hotel-budapest.ru;;;;;;;0101000000895DDBDB2DCF42408FFB56EBC4E14B40;
117;"Гостиница ""Гранд Отель Белорусская"" ООО ""Мазаль""";62409586;Центральный административный округ;Тверской район;улица Бутырский Вал, дом 5;;"PublicPhone:(495) 357-50-05

";;grand-belorusskaya@mail.ru;www.grand-belorusskaya.ru/;четыре звезды;550013850;03.04.2018;550013850;03.04.2021;ООО «Академия Консалтинга и Инноваций»;0101000000E124CD1FD3CA42400305DEC9A7E34B40;
118;Гостиница «Галерея Авеню Отель»;62409587;Центральный административный округ;Мещанский район;улица Щепкина, дом 32, строение 1;;"PublicPhone:(495) 510-67-37

";(495) 229-49-41;gallery-avenue@mail.ru;www.hotelgalery.ru/avenue/about_avenue;;;;550005503;;;0101000000F3CAF5B699D04240990D32C9C8E34B40;
119;"Гостиница ""Мандарин""";62409588;Центральный административный округ;Красносельский район;улица Ольховская, дом 23;;"PublicPhone:(495) 580-32-78

";;reservation@hotelmandarin.ru;www.hotelmandarin.ru;;;;550008181;;;01010000003145B9347ED542401A868F8829E34B40;
120;"ГОСТИНИЧНЫЙ КОМПЛЕКС ""АМПИР БЕЛОРУССКАЯ"" ООО ""ЧИПВЭЙ""";62409589;Центральный административный округ;Тверской район;улица 1-ая Брестская, дом 60;;"PublicPhone:(499) 251-64-13

";(499) 250-18-56;bondarenko.pt.prd@mail.ru;www.ampir-belorusskaya.ru;три звезды;550010036;23.10.2018;550010036;22.10.2021;"ООО ""Премьер-Дил""";0101000000268C6665FBCA4240EB5223F433E34B40;
121;"филиал «Оздоровительный комплекс «Ватутинки» федерального государственного бюджетного учреждения «Оздоровительный комплекс «Бор» Управления делами Президента Российской Федерации
";62409590;Новомосковский административный округ;поселение Десеновское;Десеновское поселение, п/о Ватутинки-1;;"PublicPhone:(495) 841-58-75

";;info@ok-vatutinki.ru;www.ok-vatutinki.ru;четыре звезды;50/01/24-2019;10.09.2019;550019164;09.09.2022;фГАУ «Оздоровительный комплекс «Рублево-Успенский»;01010000004A6249B9FBAA4240D7506A2FA2EF4B40;
122;"""V-Отель"" ООО ""Мира""";62409591;Центральный административный округ;Пресненский район;Садовая-Кудринская, дом 9, корпус 3;;"PublicPhone:(495) 120-38-88

";;contact@vhotels24.ru;;пять звезд ; 550013729 ;20.03.2018; 550013729 ;19.03.2021;"ООО ""Акадаемия Консалтинга и Инноваций""";0101000000070B2769FECA424004E8F7FD9BE14B40;
123;"Гостиница ""Хостел ""Абсолют""";62409592;Северо-Восточный административный округ;Останкинский район;Проспект Мира, дом 105;;"PublicPhone:(915) 000-07-55

PublicPhone:(916) 544-44-78

";;0000755@bk.ru;hostels-absolute.ru/nashi-obshchezhitiya/obshchezhitie-na-prospekte-mira;;;;550008170;;;0101000000DCF0BBE996D142403961C26856E84B40;
124;"Бутик-отель ""Петровский Путевой дворец"" ";62409593;Северный административный округ;район Аэропорт;Ленинградский проспект, дом 40;;"PublicPhone:(495) 633-66-33

";(495) 957-71-93;info@petroffpalacehotel.com;www.petroffpalace.mos.ru;пять звезд;550012180;10.07.2017;550012180;09.07.2020;АО «Всероссийский научно-исследовательский институт сертификации»;0101000000EEAF1EF7ADC64240B87878CF81E54B40;
125;"Holiday Inn Moscow - Seligerskaya"" (""Холидей Инн Москва - Селигерская"")";62409594;Северный административный округ;Бескудниковский район;Коровинское шоссе, дом 10;;"PublicPhone:(495) 937-60-40

";;oxana.evsukova@ihg.com;www.ihg.com;;;;550008584;;;0101000000DA1D520C90C44240698A00A777EF4B40;
126;«Арт Отель» ООО «Хай Технолоджи АГ»;62409595;Северный административный округ;Хорошёвский район;улица 3-я Песчаная, дом 2;;"PublicPhone:(495) 725-09-05

";;manager@arthotel.ru;arthotel.ru;;;;550010268;;;01010000001AC39CA04DC24240B0E595EB6DE54B40;
127;Бизнес-отель «Протон»;62409596;Западный административный округ;район Филёвский Парк;улица Новозаводская, дом 22;;"PublicPhone:(495) 797-33-70

";(495) 797-33-14;7973370@protonhotel.ru;www.protonhotel.ru;;;;550008921;;;0101000000D3F9F02C41BE42404C6E14596BE04B40;
128;Отель «Руссо-Балт»;62409597;Центральный административный округ;район Арбат;Гоголевский бульвар, дом 31/1;119019, город Москва, Гоголевский бульвар, дом 31, строение 1;"PublicPhone:(495) 645-38-75

";(495) 645-38-75;hotelrussobalt@gmail.com;russo-balthotel.com;;;;;;;0101000000A14CA3C9C5CC42406D58535914E04B40;
129;Гостиница «Шератон Палас Москва» Акционерное общество «АКАДЕМИНВЕСТ»;62409598;Центральный административный округ;Тверской район;улица 1-я Тверская-Ямская, дом 19;119049, город Москва, Ленинский проспект, дом1/2, корпус 1;"PublicPhone:(495) 931-97-00

";(495) 931-97-00;moscow@palace-moscow.ru;www.sheratonpalace.ru;пять звезд;;28.02.2020;550022220;28.02.2023;"""НЦСЭ ""Хорекаэкспертгрупп""";010100000038D906EE40CB42402009FB7612E34B40;
130;Гостиница «Шератон Москва Шереметьево» (Sheraton Moscow Sheremetyevo Airport Hotel);62409599;Северный административный округ;Молжаниновский район;Международное шоссе, дом 28Б, строение 5;Международное шоссе, дом 28Б, строение 1;"PublicPhone:(495) 229-00-10

";(495) 229-00-11;"reservations.moscowsvo@sheraton.com; 03733Sales@sheraton.com";www.sheratonmoscowairport.ru;;;;;;;0101000000E59B6D6E4CB5424001A4367172F94B40;
131;Отель «Николь»;62409600;Юго-Восточный административный округ;район Люблино;улица Егорьевская, дом 21;109387, город Москва, улица Люблинская, дом 42Д;"PublicPhone:(495) 971-46-26

";(495) 971-46-26;nikolehotel@yandex.ru;;;;;;;;01010000007097FDBAD3DD42400B0BEE073CD64B40;
132;Гостиница «Moscow Marriott Hotel Novy Arbat»;62409601;Центральный административный округ;район Арбат;улица Новый Арбат, дом 32;101000, город Москва, Большой Спасоглинищевский переулок, дом 9, строение 1;"PublicPhone:(495) 734-70-00

";(495) 734-70-00;novyarbat.reservations@marriott.com;www.MoscowMarriottArbat.com;;;;;;;01010000000588821953CA4240C85BAE7E6CE04B40;
133;Отель «Петр I» ОАО «Гостиница «БУДАПЕШТ»;62409602;Центральный административный округ;Тверской район;улица Неглинная, дом 17;103051, город Москва, улица Петровские Линии, дом 2/18;"PublicPhone:(495) 925-30-50

";(495) 621-52-90;info@hotel-peter1.ru;www.hotel-peter1.ru;;;;;;;01010000008F71C5C551CF4240A7069ACFB9E14B40;
134;Гостиница «АРАРАТ ПАРК ХАЯТТ МОСКВА»;62409603;Центральный административный округ;Мещанский район;улица Неглинная, дом 4;109012, город Москва, улица Неглинная, дом 4;"PublicPhone:(495) 783-12-34

";(495) 783-12-35;moscow.park@hyatt.com;moscow.park.hyatt.com/ru/hotel/home.html;пять звезд;550000565;18.04.2018;550000565;18.04.2021;ООО «СКАЙГЕЙТ»;01010000009D9D0C8E92CF4240BED87BF145E14B40;
135;Гостиница «Four Seasons Hotel Moscow»  (ООО «ФорСи») ;62409604;Центральный административный округ;Тверской район;улица Охотный ряд, дом 2;109012, город Москва, улица Охотный ряд, дом 2;"PublicPhone:(499) 277-71-00

";(499) 277-71-99;res.moscow@fourseasons.com;www.fourseasons.com/moscow;;;;;;;0101000000E198654F02CF42403604C765DCE04B40;
136;Гостиница «Империал Парк Отель & СПА»;62409605;Троицкий административный округ;поселение Первомайское;деревня Рогозино;143397, город Москва, поселение Первомайское, деревня Рогозино;"PublicPhone:(495) 256-20-72

";(495) 256-20-72;info@imperialhotel.ru;www.imperialhotel.ru;;;;;;;01010000008B53AD855994424053758F6CAEC44B40;
137;Отель «Chekhoff Hotel Moscow, Curio Collection by Hilton»;62409606;Центральный административный округ;Тверской район;улица Малая Дмитровка, дом 11;;"PublicPhone:(495) 980-70-00

";(495) 980-70-01;reservations@chekhoffhotel.com;hekhoffhotel.com;пять звезд;;;550000448;;;01010000008CF84ECC7ACD42404128EFE368E24B40;
138;Гостиница «Марриотт Москва Ройал Аврора» ООО Гостиница «Аврора-Люкс»;62409607;Центральный административный округ;Тверской район;улица Петровка, дом 11;107031, город Москва, улица Петровка, дом 11;"PublicPhone:(495) 937-10-00

";(495) 937-10-00;reservations@marriott-moscow.ru;www.marriott.com.ru;пять звезд;;15.01.2020; 550020802;15.01.2023;"ООО  ""НЦСЭ ""Хорекаэкспертгрупп""";0101000000FE43FAEDEBCE42403A7AFCDEA6E14B40;
1;Гостиница «Минима Белорусская»;62409608;Центральный административный округ;Тверской район;улица Лесная, дом 20, строение 2;125047, город Москва, улица Лесная, дом 20, строение 2;"PublicPhone:(495) 777-07-88

";;belorusskaya@minima-hotels.ru;minima-hotels.ru/profile/belorusskaya;;;;;;;0101000000F8C43A55BECB4240323ECC5EB6E34B40;
2;Хостел «Винегрет»;62409609;Центральный административный округ;район Арбат;улица Арбат, дом 4, строение 1;109052, улица Нижегородская, дом 104, корпус 3;"PublicPhone:(495) 690-67-56

";;vinegret.hostel@gmail.com;vinegret-hostel.ru;;;;;;;01010000007575C7629BCC42404339D1AE42E04B40;
3;ОТЕЛЬ «ГОДУНОВ» ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ГОРОДСКОЙ ОТЕЛЬ»;62409610;Центральный административный округ;Мещанский район;Нижний кисельный переулок, дом 4;129090, город Москва, Олимпийский проспект, дом 16, строение 1;"PublicPhone:(495) 111-22-00

";(495) 111-22-00;reservation@otel-godunov.ru;otel-godunov.ru;четыре звезды;;15.02.2020;550010717;14.02.2023;ООО «ПРЕМЬЕР-ДИЛ»;0101000000B07092E68FCF4240C939B187F6E14B40;
4;ХОСТЕЛ «ГИБРИД ОТЕЛЬ NETIZEN MOSCOW RIMSKAYA»;62409611;Центральный административный округ;Таганский район;бульвар Энтузиастов, дом 2;109544, город Москва, бульвар Энтузиастов, дом 2;"PublicPhone:(495) 150-06-70

";(495) 150-06-70;info@netizenhostels.com;netizenhostels.com;;;;550004527;;;01010000007041B62C5FD742401349F4328ADF4B40;
5;"""Дерево коворкинг хостел Москва"" ООО ""ХостелСервис""";62409612;Южный административный округ;Даниловский район;Павелецкая набережная, дом 2, строение 5;115114, город Москва, Павелецкая набережная, дом 2, строение 5;"PublicPhone:(499) 136-45-03

";;msk@derevo-hc.ru;derevo-hc.ru;одна звезда;;22.05.2019;550005950;22.05.2022;ООО «Строим отель»;0101000000D89E5912A0D24240EA7B0DC171DB4B40;
6;"Гостиница ""Хостел ""Заходи"" на Белорусской""";62409613;Центральный административный округ;Тверской район;улица Лесная, дом 55, строение 5;;"PublicPhone:(495) 120-13-63

";;"info@hostel-zaxodi.ru
";www.blr.hostel-zaxodi.ru;;;;550004951;;;010100000094A12AA6D2CB4240103D29931AE44B40;
7;"Гостиница ""Хостел ""Заходи"" на Павелецкой""";62409614;Центральный административный округ;район Замоскворечье;улица Кожевническая, дом 19, строение 2;;"PublicPhone:(495) 120-13-63

";;"info@hostel-zaxodi.ru
";www.pvl.hostel-zaxodi.ru;;;;550005742;;;0101000000F0F8F6AE41D342401E32E54350DD4B40;
8;Хостел «Арена»;62409615;Южный административный округ;Донской район;Варшавское шоссе, дом 14, строение 14;;"PublicPhone:(915) 368-84-51

";;arenahostel@mail.ru;арена-хостел.рф;;;;550008700;;;0101000000BBF2599E07CF424028452BF702D94B40;
9;"ООО ""Город"" ""Город отель На Казанском""";62409616;Центральный административный округ;Красносельский район;Комсомольская площадь, дом 2;;"PublicPhone:(495) 264-48-88

";;moslen@rzdhotel.ru;rzdhotel.ru;две звезды;550007109;10.05.2018;550007109;09.05.2021;"ООО  ""Центр сертификации, классификации и контроля качества"" ";0101000000F27B9BFEECD34240B6696CAF05E34B40;
10;"Гостиница ""Ibis Москва Динамо""";62409617;Северный административный округ;Хорошёвский район;Ленинградский проспект, дом 37, корпус 8;125167, город Москва, Ленинградский проспект, дом 37, корпус 8;"PublicPhone:(495) 139-03-04

";(495) 139-03-08;H6227-RE@accor.com;www.ibis.com/ru/hotel-6227-ibis-%d0%bc%d0%be%d1%81%d0%ba%d0%b2%d0%b0-%d0%b4%d0%b8%d0%bd%d0%b0%d0%bc%d0%be/index.shtml;;;;;;;0101000000B62DCA6C90C542406939D0436DE54B40;
11;Гостиница «SEVEN HILLS BRESTSKAYA»;62409618;Центральный административный округ;Тверской район;1-я Брестская  улица, дом 44;109012, город Москва, Большой Черкасский пер., дом 4, строение 1;"PublicPhone:(495) 790-79-05

";;brestskaya@sevenhillshotels.ru ;www.sevenhillshotels.ru;три звезжы;;03.07.2019;550007188;03.07.2022;"ООО ""Премьер-Дил""";01010000006E6B0BCF4BCB4240F19BC24A05E34B40;
12;Отель «ПАРКОФФ»;62409619;Восточный административный округ;район Восточное Измайлово;11-я Парковая улица, дом 34А;141100, Московская область, город Щелково, 1-й Советский переулок, дом 28, квартира 2;"PublicPhone:(495) 770-42-42

PublicPhone:(916) 077-42-42

";;info@hotel-parkoff.ru;hotel-parkoff.ru;;;;;;;0101000000B5A9BA4736E742409B90D61874E64B40;
13;"Мини-отель ""КАЛИПСО""";62409620;Центральный административный округ;Таганский район;Наставнический переулок, дом 18/11, строение 4;;"PublicPhone:(495) 778-59-77

";;info@kalipso-otel.ru;mini-hotel-calypso.hotels-inmoscow.com;;;;550007855;;;0101000000ADF9F19716D542404CFBE6FEEADF4B40;
14;"Хостел ""ПЛЕД» на Садовой-Самотечной""";62409621;Центральный административный округ;Тверской район;улица Садовая-Самотечная, дом 6, строение 2;;"PublicPhone:(903) 255-54-58

";;samotechnaya@pledhostels.ru;pledhostels.ru;;;;550011065;;;0101000000BEBD6BD097CE424066F6798CF2E24B40;
15;"Хостел ""Солянка""";62409622;Центральный административный округ;Басманный район;Чистопрудный бульвар, дом 11, строение 1;;"PublicPhone:(926) 005-16-06

";;msk.solyanka@gmail.com;solyanka-hostel.com;;;;550010718;;;0101000000CC99ED0A7DD242409A99999999E14B40;
16;Отель «Воронцовский»;62409623;Центральный административный округ;Таганский район;Воронцовский переулок, дом 5/7, строение 2;;"PublicPhone:(495) 663-99-29

";;6639929@mail.ru;;четыре звезды;06/01/147-2019;24.09.2019;550019489 ;23.09.2022;"ООО ""Центр промышленной безопасности и экспертизы"" ";01010000006EA296E656D442409DD66D50FBDD4B40;
17;Гостиница «Академическая»;62409624;Юго-Западный административный округ;район Зюзино;Керченская улица, дом 1А, корпус 3;;"PublicPhone:(499) 122-41-21

";;hotel_rao@mail.ru;www.raohotel.ru;;;;550008884;;;01010000001749BBD1C7CA4240DBFCBFEAC8D34B40;
18;Хостел «BookHostel на Чеховской»;62409625;Центральный административный округ;Тверской район;Страстной бульвар, дом 4, строение 2, 3-й этаж;;"PublicPhone:(962) 921-65-46

";(800) 555-87-82;Bookhotel.moscow@yandex.ru;bhostel.ru/;;;;550010489;;;01010000001F477364E5CD4240B0A9F3A8F8E14B40;
19;"ГОСТИНИЦА ""БуддОтель"" Общества с ограниченной ответственностью ""БуддОтель""";62409626;Северный административный округ;район Беговой;улица Расковой, дом 24, строение 4;125040, город Москва, улица Расковой, строение 4;"PublicPhone:(495) 613-13-72

";;info@buddhotel.com;buddhotel.com;;;;550005012;;;01010000003C84F1D3B8C9424021956247E3E44B40;
20;Отель «DoubleTree by Hilton Mosсow – Marina» ООО «Хоспитэлити Групп» ;62409627;Северный административный округ;Войковский район;Ленинградское шоссе, дом 39, строение 1;125212, город москва, Ленинградское шоссе, дом 39, строение 1;"PublicPhone:(495) 212-20-20

";(495) 212-20-41;reservations@dtmarina.ru;doubletreemoscow.ru;;;;550005741;;;0101000000DFDC5F3DEEBD424062A2410A9EEA4B40;
21;"""Гостиница ""Сокол"" - филиал ОАО ""Гостиничный комплекс ""Славянка""";62409628;Северный административный округ;район Сокол;Чапаевский переулок, дом 12;;"PublicPhone:(499) 157-02-55

";; sokol@slavhotels.ru;www.slavhotels.ru;три звезды;;06.06.2019;550006652;05.06.2022;ООО «Строим отель»;01010000008A027D224FC242403885950A2AE64B40;
22;Гостиница «Октавия» И.П. Алдухов Владимир Степанович ;62409629;Центральный административный округ;Пресненский район;2-й Красногвардейский проезд, дом 6, строение 1;;"PublicPhone:(495) 609-42-35

PublicPhone:(916) 706-78-45

";;oktaviahotel@yandex.ru;www.hoteloktavia.ru/;;;;550006836;;;0101000000B2F2CB608CC44240A417B5FB55E04B40;
23;"Гостиничный комплекс ""THE ROOMS BOUTIQUE HOTEL""";62409630;Центральный административный округ;Таганский район;улица Николоямская, дом 38/23, строение 3;105066, город Москва, Ольховская улица, дом 23;"PublicPhone:(966) 037-76-91

PublicPhone:(495) 114-55-01

";;reservation@hotelmandarin.ru;www.theroomshotel.ru;;;;550008846;;;01010000000AD7A3703DD44240433BA759A0DF4B40;
24;"Хостел ""Гостиный Дом ""Карачарово""";62409631;Юго-Восточный административный округ;Нижегородский район;Газгольдерная улица, дом 6;;"PublicPhone:(916) 288-47-28

";;hotelsmoskva@gmail.com;hotelmoskva.org;без звезд;;;;;;0101000000B9196EC0E7DD42408BE255D636DD4B40;
25;ГОСТИНИЦА «НОВЫЙ ДОМ» (N-HOUSE);62409632;Центральный административный округ;район Замоскворечье;улица Пятницкая, дом 2/38, строение 3;;"PublicPhone:(495) 951-82-96

";;reserve@nh-hotel.ru;www.nh-hotel.ru;три звезды;;27.05.2019;550006455;27.05.2022;"ООО ""Премьер-Дил""";0101000000C3BCC79926D042401E4FCB0F5CDF4B40;
26;"Отель «Калифорния на Покровке» ООО ""Отель Групп"" ";62409633;Центральный административный округ;Басманный район;улица Покровка, дом 40Б;;"PublicPhone:(495) 916-01-43

";; 9160143@mail.ru;hotelscalifornia.ru;;;;;;;0101000000C87BD5CA84D34240228D0A9C6CE14B40;
27;"ООО ""Визит-Москва"", филиал ООО ""Визит-Москва"" ""Гостиница ""Марко Поло Пресня""";62409634;Центральный административный округ;Пресненский район;Спиридоньевский переулок, дом 9, строение 1;123104, город Москва, улица Малая Бронная , дом 23, строение 2;"PublicPhone:(495) 660-06-06

";(495) 626-54-04;reservations@presnja.ru;www.presnja.ru;;;;550004506;;;01010000002B1895D409CC424094DC611399E14B40;
